 6/25/2018,Formulation Production  Deviation Report By Completion Date,,,,,,,,,,,,,,,,,,,,
Number,ScheduleDate,IssueDate,CompletionDate,BatchNo,FormCode,name,Colour,ScheduleMass,Schedule Vol,ScheduledBulkMass,SG,SchedMassCost,ActualSg,ActualMass,Actual Vol,UnitCost,OHMass,StdVolCost,ActVolCost,actualcost,Loss %
36150, 5/05/2016, 6/01/2016, 6/01/2016,BE/212/36150,14-7012,DG-EPS15 ETCH PRIMER:GREY COSIRA 27m 13v-HI SP @,GREY COSIRA 27m 13v,498.697,499,-1.303,1,15.7330144,0.969,266.475,275,35.74736908,0,15.733,34.6392,9525.78,46.56575035
36228, 5/13/2016, 6/01/2016, 6/01/2016,212/36228,Z302,INT:FDE BLACK (28m 22v) S25/35 BALLMILL 5 @,BLACK (28m 22v),1815.749,1984,1815.749,0.915,17.4142186,0.912,1732.8,1900,17.7004008,0,15.934,16.1428,30671.32,4.568307624
36239, 5/16/2016, 6/01/2016, 6/01/2016,AR/212/36239,39-898102,CT-FDE:BLUE DEEP HP @,MTO TINT-BLUE DEEP HP,197.915,200,-0.085,0.99,23.03065098,0.92,184,200,21.83195258,0,22.8003,20.0854,4017.08,7.030796049
36297, 5/20/2016, 6/01/2016, 6/01/2016,AR/212/36297,39-507,DG+CT-FDE DIP:GREEN MOSS RAL6005 IS227+LS25+50-BALLMILL 7 @,TINT GREEN MOSS RAL6005+IS227,1948.883,2096,88.883,0.93,18.76243742,0.896,1792,2000,15.51345734,0,17.4491,13.9001,27800.2,8.049893195
36276, 5/18/2016, 6/01/2016, 6/02/2016,DE/212/36276,31-9985,CT-SGE:BLUE TELCOMS @,TINT-BLUE TELCOMS,379.2,387,-12.8,0.98,17.27044661,0.947,378.8,400,16.82558308,0,16.925,15.9338,6373.52,0.105485232
36290, 5/18/2016, 6/01/2016, 6/02/2016,212/36290,Z433,INT:TPE MAROON 6BM JARMILL @,MAROON 6BM,50.022,56,50.022,0.89,21.30141088,0.902,49.61,55,21.58151582,0,18.9583,19.4665,1070.66,0.823637599
36310, 5/24/2016, 6/01/2016, 6/02/2016,212/36310,Z446,INT:TPE BLUE 15.3 BALL MILL 1 @,BLUE 15.3,306.058,348,306.058,0.88,17.83742493,0.911,309.74,340,18.28229483,0,15.6969,16.6552,5662.77,-1.203039947
36342, 6/01/2016, 6/01/2016, 6/02/2016,212/36342,30-101,REFILL (Z270) HGE:WHITE,FTO REFILL-Z270 WHITE,642,600,0,1.07,15.99222079,1.023,613.8,600,16.81403812,0,17.1117,17.2008,10320.48,4.392523364
36343, 6/01/2016, 6/01/2016, 6/02/2016,212/36343,39-402,REFILL (Z309) FDE YELLOW MID M11G,FTO REFILL-Z309:BT05 YELLOW MID M11G,206,200,0,1.03,23.22946694,0.989,197.8,200,23.82955511,0,23.9264,23.5674,4713.48,3.980582524
36344, 6/01/2016, 6/01/2016, 6/02/2016,DE/212/36344,39-6514,CT-FDE:ORANGE INT A15 SANS-NCS S2075-Y70R,TINT-ORANGE INT A15 SANS-NCS 2075-Y70R,75.262,74,-1.238,1.02,26.52143443,0.989,74.175,75,23.32779945,0,27.0519,23.0712,1730.34,1.444287954
36350, 6/01/2016, 6/01/2016, 6/02/2016,212/36350,50-401,FTO-EPOXY 3.8:1.2v A&B:YELLOW MID M11G (REFILL Z501) @,FTO-YELLOW MID M11G (REFILL Z501):   10*5L,29.474,20,0.274,1.46,48.13399755,1.527,30.54,20,44.13034583,0,70.2756,67.387,1347.74,-3.616746963
36353, 6/01/2016, 6/01/2016, 6/02/2016,212/36353,00-111,SPECIAL FD THINNER,CLEAR,2301.4,2773,-22.6,0.83,11.76090361,0.817,2287.6,2800,11.47689753,0,9.7615,9.3766,26254.48,0.599635005
36141, 5/04/2016, 6/01/2016, 6/03/2016,AR/212/36141,60-9986,CT-PU HB7:1 PART A&B:BLUE AQUA @,MTO TINT-BLUE AQUA:   10*5L OR 50*1L,29.023,26,0.773,1.13,39.79406732,1.127,28.175,25,34.51685616,0,44.9673,38.9005,972.51,2.921820625
36250, 5/17/2016, 6/01/2016, 6/03/2016,212/36250,Z438,INT:TPE REDOX 130 BALLMILL 1 YY,REDOX 130,452.019,486,452.019,0.93,16.34403403,0.925,434.75,470,17.23512248,0,15.2,15.9425,7492.98,3.820414629
36251, 5/17/2016, 6/01/2016, 6/03/2016,212/36251,Z441,INT:TPE GREEN IG227 BALLMILL 2 @,GREEN IG227,920.118,979,920.118,0.94,19.85979925,0.962,923.52,960,19.9187435,0,18.6682,19.1618,18395.33,-0.369735186
36348, 6/01/2016, 6/01/2016, 6/03/2016,212/36348,40-202,QD DIP SK120 BRIGHT ALUMINIUM-SLOW SPEED 3 POT YY,BRIGHT ALUMINIUM-DIPPING,1373.899,1510,-82.101,0.91,16.33091391,0.889,1333.5,1500,16.32089651,0,14.8611,14.5093,21763.95,2.9404636
36370, 6/02/2016, 6/02/2016, 6/03/2016,212/36370,12-373,REFILL (Z324) FPW15 MATT PRIMER 23m 13v:GREY NEW HD,FTO REFILL-Z324 GREY NEW HD 23m 13v,2000,2000,0,1,13.83241045,0.981,2256.3,2300,13.72477064,0,13.8324,13.464,30967.2,-12.815
36371, 6/02/2016, 6/02/2016, 6/03/2016,212/36371,Dec-31,VISCO ADJ-FPW15 PRIMER DIP 18S F4C:GREY NEW HD YY,DIP 18S F4C GREY NEW HD 20m 11v,964.5,984,-15.5,0.98,13.43408495,0.947,947,1000,13.09269641,0,13.1654,12.3988,12398.8,1.814411612
36374, 6/02/2016, 6/02/2016, 6/03/2016,212/36374,39-911,VISCO ADJ-FDWE DIP 19S F4C:BLACK,BLACK DIP,903.6,993,-6.4,0.91,17.09189055,0.879,879,1000,17.30665966,0,15.5536,15.2126,15212.6,2.722443559
36377, 6/02/2016, 6/02/2016, 6/03/2016,212/36377,00-110,GP/QD THINNERS,CLEAR,3320,4000,0,0.83,12.28426396,0.812,3248,4000,12.3682266,0,10.1959,10.043,40172,2.168674699
36326, 5/27/2016, 6/01/2016, 6/06/2016,AR/212/36326,39-507,DG+CT-FDE DIP:GREEN MOSS RAL6005 IS227+LS25+50-BALLMILL 7 @,TINT GREEN MOSS RAL6005+IS227,1948.883,2096,88.883,0.93,18.75883825,0.888,1980.24,2230,19.4154129,0,17.4457,17.2409,38447.21,-1.608972935
36328, 6/01/2016, 6/01/2016, 6/06/2016,AR/212/36328,12-5782G,DG-ZPP15 MATT:GREY LT QDP3 PLA S25-3 POT HI-SP YY,FPW15 GREY LT QDP3 PLA,1710.361,1710,10.361,1,13.03210732,0.991,1610.375,1625,12.99905842,0,13.0321,12.8821,20933.41,5.845900368
36345, 6/01/2016, 6/01/2016, 6/06/2016,BE/212/36345,31-9931B,CT-SGE:BROWN GOLDEN B13 SABS @,MTO-TINT-BROWN GOLDEN B13 SABS,4.704,5,-0.146,0.97,18.78797641,0.91,4.55,5,13.88252695,0,18.2243,12.6331,63.17,3.273809524
36363, 6/01/2016, 6/02/2016, 6/06/2016,DE/212/36363,12-37834,CT-FPW15 PRIM SPRAY:GREY DK SEA G08 SANS-NCS7005-B20G @,MTO-TINT SPRAY MATT-GREY DK SEA G08 SANS-NCS S7005-B20G,190.335,194,-5.665,0.98,13.87322415,0.956,191.2,200,11.81247429,0,13.5958,11.2927,2258.54,-0.45446187
36364, 6/01/2016, 6/02/2016, 6/06/2016,DE/212/36364,39-2994,CT-FDE:GREY MINES G15 PLA @,TINT-GREY MINES G15 PLA,196.249,198,-1.751,0.99,22.90843535,0.951,190.2,200,18.80034351,0,22.6794,17.8791,3575.82,3.0823087
36373, 6/02/2016, 6/02/2016, 6/06/2016,212/36373,39-901,REFILL (Z302) FDE BLACK,FTO REFILL-Z302 BLACK,1457,1550,0,0.94,17.50172723,0.901,1405.56,1560,18.05151641,0,16.4516,16.2644,25372.46,3.53054221
