Acc no,Acc name,Br no,Credit limit,Credit time,Trade Dsc,Cash Dsc,Address,Ph. No.,FAX No.,Contact,SalesPerson
A\0008,A&H ENGINEERING & MANUFACTURING,1,"5,000.00",40,10,0,P.O.BOX 1370,011 864 6407,011 908 2262,Henry Lynch/Michelle Van Wyk,HOUSE / NS
A\0055,ACTOM MECHANICAL EQUIPMENT,1,"40,000.00",40,20,0,30 DAY ACCOUNT,011 871 6709 X,086 529 1805,GERRIE SWANEPOEL,RUWEIDA MODRAMOOTHOO / NS
A\0072,ADVANCE ARMOUR (PTY) LTD,1,"2,000.00",10,25,0,CASH ACCOUNT,072-072 0053,086-551 4747,MIKE ERUIS,HOUSE
A\0030,AFRISAM SOUTH AFRICA (PTY) LTD,1,"10,000.00",40,10,0,30 DAY ACCOUNT,016 986 0132 X,016 986 1069,SHIRLEY BRITS,RUWEIDA MODRAMOOTHOO / NS
A\0013,AHEAD PROJECTS & CONSTRUCTION SPECIALISTS (PTY) LIMITED,1,"20,000.00",40,25,0,30 DAY ACCOUNT,011-730 7909,011-730 7914,SAMANTHA,OELOFSE RUDI / DW
A\0009,AINSWORTH ENGINEERING (PTY) LT,1,"20,000.00",40,27.5,0,P O BOX 1122,011433 3968/79#,011 433 3623,ANDRE ROUX,HOUSE / NS
A\0063,AIR LIQUIDE (PTY) LTD,1,"600,000.00",40,30,0,P.O. BOX 124200,011 389 7000 X,011 617 7528,MATTHEW LAING / SALOSHNEE,HOUSE / GG / DW
A\0073,AL MINING TECHNICS CC,1,"3,000.00",10,25,0,CASH ACCOUNT,087-806 4904,086-659 3740,CHRISTINA,HOUSE
A\0004,ALLIED STEELRODE (PTY) LIMITED,1,"150,000.00",40,30,0,30 DAY ACCOUNT,086-177 7777,01- 216 0211,Shirley / Sonja / Arun Chadha,OELOFSE RUDI/RVDM/DW
A\0043,ALLSTEAM ENGINEERING CC,1,"10,000.00",40,20,0,30 DAY ACCOUNT,011 900 1421 X,011 868 1617,BRENDA,HOUSE / NS
A\0038,ALPHA PLAST (PTY) LTD,1,"5,000.00",40,10,0,30 DAY ACCOUNT,011 908 5165,011 864 6812,LIZET / KEN /Acc:PATSY,WW
A\0067,AMICAM TRADING (PTY) LTD,1,"5,000.00",10,0,0,CASH ACCOUNT,011-955 5444,011-955 3072,TONI VAN DE WALT,RUWEIDA MODRAMOOTHOO / NS
