Acc no,Acc name,Br no,Credit limit,Credit time,Trade Dsc,Cash Dsc,Address,Ph. No.,FAX No.,Contact,SalesPerson
A\0004,ALLIED STEELRODE (PTY) LIMITED,1,150000,40,30,0,30 DAY ACCOUNT,086-177 7777,01- 216 0211,Shirley / Sonja / Arun Chadha,OELOFSE RUDI/RVDM/DW
A\0008,A&H ENGINEERING & MANUFACTURING,1,5000,40,10,0,30 DAY ACCOUNT,011 864 6407,011 908 2262,Henry Lynch/Michelle Van Wyk,HOUSE / NS
A\0009,AINSWORTH ENGINEERING (PTY) LT,1,20000,40,27.5,0,30 DAY ACCOUNT,011433 3968/79#,011 433 3623,ANDRE ROUX,HOUSE / NS
A\0013,AHEAD PROJECTS & CONSTRUCTION SPECIALISTS (PTY) LIMITED,1,20000,40,25,0,30 DAY ACCOUNT,011-730 7909,011-730 7914,SAMANTHA,OELOFSE RUDI / DW
A\0014,I H S INDUSTRIAL HARDWARE SUPPLIES CC,1,20000,40,10,0,30 DAY ACCOUNT,011 864 2934 X,011 908 4042,Vasco / Acc:Connie,OELOFSE RUDI / DW
A\0015,AMKO FORGE (PTY) LTD,1,180000,40,32.5,0,30 DAY ACCOUNT,016 366 1960 X,016 366 0042,KOBUS KOTZE/MADELEIN BARKHUIZE,HOUSE / DW
A\0025,APPLIED HEAT (PTY) LTD,1,15000,40,20,0,30 DAYY ACCOUNT,011 786 4200 X,011 887 7775,SAM MOONSAMY,HOUSE / NS
A\0027,ARUNS AUTO PAINT CC,1,5000,10,35,0,CASH ACCOUNT,011-900 2481,011-900 2491,ARUN GOWRIE,OELOFSE RUDI / DW
A\0030,AFRISAM SOUTH AFRICA (PTY) LTD,1,10000,40,10,0,30 DAY ACCOUNT,016 986 0132 X,016 986 1069,SHIRLEY BRITS,RUWEIDA MODRAMOOTHOO / NS
A\0038,ALPHA PLAST (PTY) LTD,1,5000,40,10,0,30 DAY ACCOUNT,011 908 5165,011 864 6812,LIZET / KEN /Acc:PATSY,WW
A\0043,ALLSTEAM ENGINEERING CC,1,10000,40,20,0,30 DAY ACCOUNT,011 900 1421 X,011 868 1617,BRENDA,HOUSE / NS
A\0046,ANGLO OPERATIONS LTD,1,9000,40,20,0,30 DAY ACCOUNT,016 428 1304X,016 428 6005,ANDRE DU PLESSIS,RUWEIDA MODRAMOOTHOO / NS
A\0063,AIR LIQUIDE (PTY) LTD,1,600000,40,30,0,30 DAY ACCOUNT,011 389 7000 X,011 617 7528,MATTHEW LAING / SALOSHNEE,HOUSE / GG / DW
