batchNumber,batchPeriod,productType,paintInfoType,rdProject,initialV,initialVUnit,iFOG,finalV,finalVUnit,finalSG,fFOG,fHardDry,fHardDryUnit,fTouchDry,fTouchDryUnit,finalDFT,finalDFTUnit,finalOpacity,finalGloss,finalDE,finalDESpec,dateIssued,dateLoaded,datePremixPassed,active
39831,233,547,Batch,1,91.60,KU,100,59.90,SEC,1.00,10.00,60,MIN,10,MIN,38.60,UM,77.47,1.00,1.00,Visual Match,3/1/2018,2/23/2018,2/23/2018,Completed
39829,233,606,Batch,2,86.60,KU,100,22.50,SEC,0.97,10.00,90,MIN,20,MIN,33.33,UM,100.00,8.10,0.27,Spectrophotometer,3/1/2018,2/28/2018,2/28/2018,Completed
39772,233,549,Batch,3,100.20,KU,100,58.50,SEC,1.00,5.00,60,MIN,10,MIN,32.60,UM,79.49,1.00,1.00,Visual Match,3/1/2018,2/23/2018,2/23/2018,Completed
39881,233,558,Batch,1,51.20,KU,100,62.80,KU,0.98,1.50,180,MIN,30,MIN,66.30,UM,85.85,86.60,1.00,Visual Match,3/2/2018,3/2/2018,3/5/2018,Completed
39695,233,413,Batch,2,60.60,KU,100,12.58,SEC,1.15,2.00,,MIN,10,MIN,64.80,UM,98.75,1.00,1.00,Visual Match,3/1/2018,2/21/2018,2/23/2018,Completed
39844,233,205,Batch,3,47.80,KU,100,19.50,SEC,0.89,1.50,60,MIN,10,MIN,19.60,UM,97.08,63.30,0.29,Not Required,3/1/2018,3/5/2018,3/6/2018,Completed
39892,233,538,Batch,,65.30,KU,100,60.90,SEC,1.00,2.00,60,MIN,10,MIN,43.10,UM,78.61,82.60,1.00,Visual Match,3/5/2018,3/6/2018,3/7/2018,Completed
39753,233,527,Batch,,60.90,KU,100,63.50,KU,1.29,2.00,180,MIN,30,MIN,59.60,UM,94.60,9.40,1.00,Visual Match,3/1/2018,2/21/2018,2/21/2018,Completed
39893,233,548,Batch,,66.10,KU,100,60.50,SEC,0.98,10.00,60,MIN,10,MIN,39.80,UM,100.00,7.30,0.20,Spectrophotometer,3/5/2018,3/5/2018,3/6/2018,Completed
39832,233,297,Batch,,55.10,KU,100,19.50,SEC,0.89,1.50,60,MIN,10,MIN,20.30,UM,99.25,74.20,1.00,Visual Match,3/1/2018,3/2/2018,3/5/2018,Completed
39828,233,605,Batch,,63.90,KU,100,61.50,KU,1.02,10.00,120,MIN,30,MIN,56.30,UM,100.00,5.80,0.22,Spectrophotometer,3/1/2018,3/5/2018,3/6/2018,Completed
39898,233,606,Batch,,64.50,KU,100,22.90,SEC,0.97,10.00,120,MIN,30,MIN,39.60,UM,98.99,6.60,0.27,Spectrophotometer,3/5/2018,3/8/2018,3/8/2018,Completed
39689,233,560,Batch,1,54.30,KU,100,62.50,KU,0.89,2.00,120,MIN,30,MIN,61.30,UM,37.38,86.60,1.00,Visual Match,3/1/2018,3/7/2018,3/9/2018,Completed
39588,233,579,Batch,2,78.90,KU,100,110.50,KU,1.11,15.00,60,MIN,30,MIN,86.30,UM,100.00,1.00,1.00,Visual Match,3/1/2018,1/30/2018,2/1/2018,Completed
39593,233,585,Batch,3,115.50,KU,100,110.50,KU,1.19,15.00,60,MIN,30,MIN,80.10,UM,12.53,1.00,1.00,Visual Match,3/1/2018,3/8/2018,3/8/2018,Completed
39894,233,563,Batch,1,47.80,KU,100,62.50,KU,0.88,1.80,180,MIN,30,MIN,60.30,UM,65.45,86.80,1.00,Visual Match,3/5/2018,3/7/2018,3/9/2018,Completed
39910,233,532,Batch,3,65.50,KU,100,60.50,SEC,0.90,2.00,60,MIN,10,MIN,39.90,UM,99.34,82.60,1.00,Visual Match,3/6/2018,3/7/2018,3/9/2018,Completed
39931,233,538,Batch,,61.90,KU,100,59.50,SEC,1.00,2.00,60,MIN,10,MIN,42.80,UM,72.94,85.30,1.00,Visual Match,3/8/2018,3/8/2018,3/9/2018,Completed
39589,233,580,Batch,,60.60,KU,100,96.50,KU,1.19,15.00,60,MIN,30,MIN,,UM,82.09,1.00,1.00,Visual Match,3/1/2018,3/12/2018,3/13/2018,Completed
39838,233,553,Batch,,62.20,KU,100,62.50,KU,0.89,2.00,180,MIN,30,MIN,66.30,UM,58.51,87.30,1.00,Visual Match,3/1/2018,3/7/2018,3/12/2018,Completed
39890,233,542,Batch,,63.80,KU,100,60.50,SEC,1.00,1.50,60,MIN,10,MIN,40.30,UM,85.48,83.30,1.00,Visual Match,3/5/2018,3/8/2018,3/9/2018,Completed
39949,233,30,Batch,,66.70,KU,100,18.30,SEC,0.92,2.00,90,MIN,10,MIN,10.60,UM,94.36,6.90,1.00,Visual Match,3/9/2018,3/12/2018,3/13/2018,Completed
39887,233,205,Batch,,50.70,KU,100,19.35,SEC,0.89,2.00,60,MIN,10,MIN,20.80,UM,99.83,72.30,0.06,Spectrophotometer,3/5/2018,3/8/2018,3/9/2018,Completed
39909,233,520,Batch,,55.30,KU,100,49.50,SEC,0.97,5.00,60,MIN,10,MIN,33.30,UM,100.00,1.00,1.00,Visual Match,3/6/2018,3/12/2018,3/14/2018,Completed
39947,233,538,Batch,,61.60,KU,100,60.56,SEC,1.00,1.50,60,MIN,10,MIN,43.80,UM,72.44,84.60,1.00,Visual Match,3/9/2018,3/9/2018,3/12/2018,Completed
39928,233,552,Batch,,77.10,KU,100,61.50,KU,0.99,1.00,3,MIN,30,MIN,60.30,UM,90.56,89.00,1.00,Visual Match,3/8/2018,3/8/2018,3/9/2018,Completed
39966,233,540,Batch,1,56.10,KU,100,60.90,SEC,0.93,2.00,1,MIN,10,MIN,N/C,UM,83.06,74.90,1.00,Visual Match,3/12/2018,3/12/2018,3/13/2018,Completed
39991,233,563,Batch,3,50.70,KU,100,62.20,KU,0.90,2.00,3,MIN,30,MIN,68.03,UM,68.04,89.30,1.00,Visual Match,3/15/2018,3/15/2018,3/19/2018,Completed
39989,233,553,Batch,1,45.60,KU,100,62.90,KU,0.89,2.00,3,MIN,30,MIN,N/C,UM,63.98,85.90,1.00,Visual Match,3/14/2018,3/15/2018,3/19/2018,Completed
39956,233,535,Batch,2,53.40,KU,100,60.50,SEC,0.96,2.00,60,MIN,10,MIN,39.40,UM,81.87,92.40,1.00,Visual Match,3/9/2018,3/12/2018,3/14/2018,Completed
39929,233,603,Batch,3,54.70,KU,100,59.50,SEC,1.05,2.00,60,MIN,10,MIN,46.30,UM,89.39,83.50,1.00,Visual Match,3/8/2018,3/14/2018,3/16/2018,Completed
39946,233,532,Batch,,52.50,KU,100,60.50,SEC,0.90,2.00,60,MIN,10,MIN,39.60,UM,99.94,85.40,1.00,Visual Match,3/9/2018,3/14/2018,3/16/2018,Completed
39627,233,546,Batch,,62.20,KU,100,62.50,KU,0.98,5.00,75,MIN,10,MIN,0.00,UM,100.00,1.00,1.00,Visual Match,3/1/2018,3/20/2018,3/22/2018,Completed
39627,233,546,Batch,,62.20,KU,100,62.50,KU,0.98,5.00,75,MIN,10,MIN,0.00,UM,100.00,1.00,1.00,Visual Match,3/1/2018,3/20/2018,3/22/2018,Completed
39945,233,205,Batch,,44.50,KU,100,19.50,SEC,0.89,2.00,60,MIN,10,MIN,19.90,UM,97.19,73.60,0.20,Spectrophotometer,3/9/2018,3/15/2018,3/16/2018,Completed
39940,233,299,Batch,,60.10,KU,100,60.50,SEC,0.97,10.00,60,MIN,10,MIN,32.60,UM,100.00,1.00,1.00,Visual Match,3/9/2018,3/20/2018,3/22/2018,Completed
