Product Code,Product Name,Stock Level,Reorder Level
00-105-025,PU CLEANING SOLVENT 25L,1,0
00-110-005,GP/QD THINNER 5L,41,31
00-110-025,GP/QD THINNER 25L,19,39
00-110-200,GP/QD THINNER 200L,8,42
00-120-005,ETCH THINNER STD 5L,13,8
00-120-025,ETCH THINNER STD 25L,12,6
00-120-200,ETCH THINNER STD 200L,2,3
00-130-0.75,2K PU HB7:1 THINNER 0.75L,33,0
00-130-005,2K PU HB7:1 THINNER 5L,12,6
00-135-005,CORROVOID THINNER 5L,12,8
00-140-005, YY-ARMOURPOXY THINNER 5L,10,0
00-1490-005, YY-FD HAMMER THINNER 5L,7,0
00-150-0.75,FDE THINNER 0.75L,31,23
00-150-005,FDE THINNER 5L,80,117
00-150-025,FDE THINNER 25L,15,70
00-150-200,FDE THINNER 200L,2,48
00-152-0.75, YY-STD LACQUER THINNER 0.75L,100,0
00-152-005, YY-STD LACQUER THINNER 5L,100,0
00-7001-005,BITUMEN AC4 SOLN:BLACK 5L,8,0
00-7001-025,BITUMEN AC4 SOLN:BLACK 25L,5,3
00-7001-200,BITUMEN AC4 SOLN:BLACK 200L,5,3
00-800-020,ARMOURPHOS CLEANER 20L,10,14
00-900-005,PAINT REMOVER 5L,1,11
10-301-001,  ZZ-BITUMEN ALUM SPRAY:SILVER 1L,1,0
10-301-005,BITUMEN ALUM SPRAY:SILVER 5L,4,1
11-8011-020,  ZZ-WOOD SEALER:BLUE 20L,3,0
12-101-005,UPW45 UU/COAT:WHITE 5L,9,0
12-101-025,UPW45 UU/COAT:WHITE 25L,7,0
12-201-005,PLASTER PRIM:WHITE 5 L,14,3
12-201-025,PLASTER PRIM:WHITE 25 L,5,3
12-361-001,FPW15 PRIM:REDOX 130 1L,73,41
12-361-005,FPW15 PRIM:REDOX 130 5L,102,138
12-361-025,FPW15 PRIM:REDOX 130 25L,23,84
12-361-200,FPW15 PRIM:REDOX 130 200L,1,22
12-364-200,FPW15 PRIM DIP H SATIN:REDOX 130 200L,1,0
12-366-025,FP20 PRIM MATT SPRAY:BLACK 25L,9,8
12-373-005, YY-FPW15 PRIM:GREY NEW HD 5L,13,0
12-373-025,FPW15 PRIM:GREY NEW HD 25L,38,49
12-373-200,FPW15 PRIM:GREY NEW HD 200L,3,5
12-3731-200,FPW15 PRIM DIP:GREY NEW HD 200L,3,7
12-3783-001, YY-FPW15 PRIM:GREY 1L,4,0
12-3783-005,FPW15 PRIM:GREY 5L,60,67
12-3783-025,FPW15 PRIM:GREY 25L,50,44
12-3783-200,FPW15 PRIM:GREY 200L,10,11
12-37834-025,FPW15 PRIM SPRAY:GREY DK SEA G08 SANS 25L,4,0
12-37836-001,FPW15 PRIM:GREY REGO 1L,21,0
12-37836-005,FPW15 PRIM:GREY REGO 5L,22,0
12-37836-025,FPW15 PRIM:GREY REGO 25L,12,0
12-37837-200,  ZZ-FPW15 PRIM:GREY DOLPHIN 200L,2,0
12-380-005,FPW15 PRIM:GREEN DK OLIVE 5L,3,16
12-380-025,FPW15 PRIM:GREEN DK OLIVE 25L,5,7
12-384-200,FPW15 PRIM SPRAY:BLUE NW 200L,3,2
12-50113-025,FPW15 PRIM:GREY PALE G62 SANS 25L,1,0
12-50117-200,  ZZ-FPW15 PRIM:CREAM MERC 200L,2,0
12-573-025,  ZZ-ZPPW15 PRIM:GREY NEW HD 25L,8,4
12-573-200,  ZZ-ZPPW15 PRIM:GREY NEW HD 200L,3,2
12-578-200,ZPPW15 PRIM:GREY 200L,7,2
12-5782-025,ZPPW15 PRIM:GREY LT 25L,91,80
12-690-025,ZPPW20 PRIM:BLACK SATIN 25L,10,3
12-690-200,ZPPW20 PRIM:BLACK SATIN 200L,3,1
13-401-005,  ZZ-EPP15 CORRO3 ETCH+MZAP PRIM:YELLOWOX 5L,6,3
13-500-005,GALV IRON PRIM:YELLOW 5L,37,15
13-601-005,EPP15 CORRO3 ETCH+MZAP PRIM:REDOX 5 L,18,4
13-903-005,  ZZ-EPP15 CORRO3 ETCH+MZAP PRIM:BLACK SATIN 5L,10,0
14-101-005,EPS15 ETCH PRIM:WHITE 5L,10,4
14-105-025,EPS15 ETCH PRIM:IVORY TAT 25L,8,6
14-601-005,EPS15 ETCH PRIM:REDOX 130 5L,6,2
14-601-025,EPS15 ETCH PRIM:REDOX 130 25L,18,8
14-601-200,EPS15 ETCH PRIM:REDOX 130 200L,2,4
14-7012-005,EPS15 ETCH PRIM:GREY COS 5L,10,7
14-7012-025,EPS15 ETCH PRIM:GREY COS 25L,11,2
14-7012-200,EPS15 ETCH PRIM:GREY COS 200L,8,2
14-901-001,  ZZ-EPS15 ETCH PRIM:BLACK SATIN 1L,1,0
14-901-005,EPS15 ETCH PRIM:BLACK SATIN 5L,21,54
14-901-025,EPS15 ETCH PRIM:BLACK SATIN 25L,9,22
14-901-200,EPS15 ETCH PRIM:BLACK SATIN 200L,1,3
15-001-200,DIPPING VARNISH:CLEAR 200L,3,7
22-099-001,  ZZ-EPP30 CORRO 2K ETCH CATALYST PART A:CLEAR 1L,1,0
23-709-5A&B,  ZZ-EPOXY+MZAP 4:1 A&B:CREAM 5L,3,2
28-1011-005,  ZZ-SGPU:WHITE CS 5L,7,0
28-1011-025,  ZZ-SGPU:WHITE CS 25L,2,0
30-101-005,HGE:WHITE 5L,46,20
30-101-025,  ZZ-HGE:WHITE 25L,9,0
30-101-200,HGE:WHITE 200 L,9,2
31-4013-005,SGE:YELLOW GLD B49 SANS 5L,12,0
31-5102-005,SGE:GREEN BRI H10 SANS 5L,15,0
31-51042-005,  ZZ-SGE:GREEN TRA E07 SANS 5L,2,0
31-6515-005,  ZZ-SGE:ORANGE LT B26 SANS 5L,1,0
31-902-005,SGE:BLACK 5L,68,66
31-902-025,SGE:BLACK 25L,11,8
31-9931-005,  ZZ-SGE:BROWN GLD B13 SANS 5L,1,0
31-9985-200,SGE:BLUE TELCOM 200L,2,1
33-101-005, YY-ESHELL:WHITE 5 L,8,4
33-101-025, YY-ESHELL:WHITE 25 L,2,2
34-201-005,ALKYD ROOF PAINT:SILVER 5 L,5,0
35-102-005,FD RD MARK SANS 731-1:WHITE 5L,22,12
35-102-020,FD RD MARK SANS 731-1:WHITE 20L,20,13
35-402-005,FD RD MARK SANS 731-1:YELLOW 5L,3,31
35-402-020,FD RD MARK SANS 731-1:YELLOW 20L,3,4
35-602-020,FD RD MARK SANS 731-1:RED 20L,2,0
35-902-005,FD RD MARK SANS 731-1:BLACK 5L,6,7
35-902-020,FD RD MARK SANS 731-1:BLACK 20L,3,4
39-001-005, YY-FDE:CLEAR 5L,5,6
39-101-001, YY-FDE:WHITE 1L,23,13
39-101-005,FDE:WHITE 5L,262,200
39-101-025,FDE:WHITE 25L,25,12
39-101-200,  ZZ-FDE:WHITE 200L,5,0
39-10122-005,  ZZ-FDE:CREAM C66 SANS 5L,2,0
39-101224-005,FDE:IVORY B&R 5L,7,5
39-201-001, YY-FDE:SILVER 1L,36,22
39-201-005,FDE:SILVER 5L,8,64
39-201-025,FDE:SILVER 25L,2,1
39-201-200,FDE:SILVER 200L,2,4
39-2011-005,  ZZ-FDE SPRAY:SILVER 5L,2,0
39-2011-025,  ZZ-FDE SPRAY:SILVER 25L,8,0
39-20120-025,FDE:SILVER BOSAL 25L,19,8
39-299-005,FDE:GREY DK ADM G12 SANS 5L,15,3
39-299-025,  ZZ-FDE:GREY DK ADM G12 SANS 25L,3,0
39-299-200,  ZZ-FDE:GREY DK ADM G12 SANS 200L,1,0
39-2991-025,  ZZ-FDE SPRAY:GREY DK ADM G12 SANS 25L,9,0
39-29911-025,FDE:GREY TRICOR 25L,3,0
39-299118-200,FDE SPRAY:GREY LT G29 SANS 200L,4,2
39-29913-005,FDE:GREY B-SHIP G13 PLA 5L,12,4
39-29913-025,FDE:GREY B-SHIP G13 PLA 25L,6,2
39-299152-005,FDE:GREY DK B&R 5L,14,9
39-2994-025,FDE:GREY MINES G15 PLA 25L,6,2
39-29949-005,  ZZ-FDE:GREY LT G29 SANS 5L,4,0
39-29949-025,FDE:GREY LT G29 SANS 25L,4,2
39-2995-005,  ZZ-FDE:GREY HS 5L,1,0
39-2995-025,FDE:GREY HS 25L,4,1
39-29960-005,FDE:GREY APPLIED HEAT 5L,11,1
39-2997-005,FDE:GREY LT ADM E46 SANS 5L,14,8
39-2997-025,FDE:GREY LT ADM E46 SANS  25L,8,6
39-402-005,FDE:YELLOW MID M11G 5L,17,10
39-402-025,FDE:YELLOW MID M11G 25L,11,12
39-501-025,FDE:GREEN 227 25L,6,2
39-5071-005,   ZZ-FDE:GREEN LT BRUNS H07 SANS 5L,13,0
39-5071-025,FDE:GREEN LT BRUNS H07 SANS 25L,3,1
39-5074-200,FDE DIP:GREEN MOSS R6005 200L,7,48
39-530113-005,  ZZ-FDE:GREEN MOSS RAL6005 5L,10,0
39-530113-025,  ZZ-FDE:GREEN MOSS RAL6005 25L,3,0
39-53013-005,  ZZ-FDE:GREEN BRI H10 SANS 5L,6,0
39-53013-025,FDE:GREEN BRI H10 SANS 25L,9,1
39-53018-005,FDE:EAU DE NIL H43 SANS 5L,15,4
39-53087-005,  ZZ-FDE:GREEN GENSET 5L,8,0
39-5309-005,  ZZ-FDE:GREEN WINDSOR G33 PLA 5L,1,0
39-5309-025,FDE:GREEN WINDSOR G33 PLA 25L,3,1
39-540-025,FDE:YELLOW OXIDE 25L,4,3
39-6011-025,FDE SPRAY:RED PO 25L,1,1
39-6014-025,FDE:RED GRIMME 25L,8,5
39-602-025,FDE:MAROON 6BM 25L,4,2
39-603-001,   ZZ-FDE:RED SIGNAL A11 SANS 1L,3,0
39-603-005,FDE:RED SIGNAL A11 SANS 5L,3,8
39-603-025,FDE:RED SIGNAL A11 SANS 25L,13,1
39-603-200,FDE:RED SIGNAL A11 SANS 200L,2,1
39-6031-200,FDE SPRAY:RED SIGNAL A11 SANS 200L,4,2
39-61510-025,FDE:SCARLET SM 25L,8,6
39-6154-025,FDE:RED MF 25L,6,2
39-620-025,FDE:REDOX 130 25L,3,1
39-6512-001, YY-FDE:ORANGE LT B26 SANS 1L,4,0
39-6512-005,FDE:ORANGE LT B26 SANS 5L,13,8
39-6512-025,FDE:ORANGE LT B26 SANS 25L,24,1
39-6512-200,FDE:ORANGE LT B26 SANS 200L,7,6
39-65127-025,  ZZ-FDE:ORANGE PURE RAL2004 25L,5,0
39-65150-005,FDE:ORANGE NITCHI 5L,3,4
39-802-025,FDE:BLUE 15.3 25L,10,8
39-898102-005,  ZZ-FDE:BLUE DEEP HP 5L,25,10
39-898102-025, YY-FDE:BLUE DEEP HP 25L,7,3
39-89811-005,FDE:BLUE AMERICAN 5L,17,12
39-898125-025, YY-FDE:BLUE SKY RAL5015 25L,1,0
39-898132-005,FDE:BLUE SKY PRO5015 5L,1,7
39-89814-005,FDE:BLUE FORD 5L,7,4
39-898198-005,FDE:BLUE LT COOPER 5L,5,3
39-89820-005, YY-FDE:BLUE AZURE F05 SANS 5L,3,0
39-89820-025,FDE:BLUE AZURE F05 SANS 25L,5,2
39-89820-200,FDE:BLUE AZURE F05 SANS 200L,1,0
39-89822-005,  YY-FDE:BLUE PEACOCK F08 SANS 5L,1,0
39-89822-025,   ZZ-FDE:BLUE PEACOCK F08 SANS 25L,1,1
39-89827-005,FDE:BLUE KSB 5L,4,2
39-89843-005,  ZZ-FDE:CORNFLOWER F29 SANS 5L,1,3
39-89843-200,FDE:CORNFLOWER F29 SANS 200L,5,1
39-89850-005, YY-FDE:BLUE AIR LIQUIDE 5L,2,0
39-898891-005,FDE:BLUE DONALDSON NEW 5L,7,2
39-8989-005,FDE:BLUE MIDNIGHT G16 PLA 5L,7,2
39-89895-025,FDE:BLUE SIGNAL RAL5005 25L,11,1
39-89895-200,FDE:BLUE SIGNAL RAL5005 200L,2,2
39-89897-005,FDE:BLUE MARINDEC 5L,5,1
39-89898-005,FDE:BLUE METALLICA 5L,2,1
39-901-001, YY-FDE:BLACK 1L,45,35
39-901-005,FDE:BLACK 5L,8,306
39-901-025,FDE:BLACK 25L,1,29
