batchNumber,productType,paintInfoType,rdProject,initialV,intialVUnit,iFOG,iFOGUnit,finalV,finalVUnit,finalSG,fFOG,fFOGUnit,fHardDry,fHardDryUnit,fTouchDry,fTouchDryUnit,finalDFT,finalDFTUnit,finalOpacity,finalGloss,finalDE,finalDESpec,dateIssued,dateLoaded,datePremixPassed,active
39831,547,Batch,1,91.6,KU,100,UM,59.9,SEC,0.998,10,UM,60,MIN,10,MIN,38.6,UM,77.47,1,1,Visual Match,03-01-2018,23-02-18,23-02-18,Completed
39829,606,Batch,2,86.6,KU,100,UM,22.5,SEC,0.974,10,UM,90,MIN,20,MIN,33.33,UM,100,8.1,0.273,Spectrophotometer,03-01-2018,28-02-18,28-02-18,Completed
39772,549,Batch,3,100.2,KU,100,UM,58.5,SEC,0.996,5,UM,60,MIN,10,MIN,32.6,UM,79.49,1,1,Visual Match,03-01-2018,23-02-18,23-02-18,Completed
39881,558,Batch,1,51.2,KU,100,UM,62.8,KU,0.977,1.5,UM,180,MIN,30,MIN,66.3,UM,85.85,86.6,1,Visual Match,03-02-2018,03-02-2018,03-05-2018,Completed
39695,413,Batch,2,60.6,KU,100,UM,12.58,SEC,1.147,2,UM,,MIN,10,MIN,64.8,UM,98.75,1,1,Visual Match,03-01-2018,21-02-18,23-02-18,Completed
39844,205,Batch,3,47.8,KU,100,UM,19.5,SEC,0.886,1.5,UM,60,MIN,10,MIN,19.6,UM,97.08,63.3,0.293,Not Required,03-01-2018,03-05-2018,03-06-2018,Completed
39892,538,Batch,,65.3,KU,100,UM,60.9,SEC,0.998,2,UM,60,MIN,10,MIN,43.1,UM,78.61,82.6,1,Visual Match,03-05-2018,03-06-2018,03-07-2018,Completed
39753,527,Batch,,60.9,KU,100,UM,63.5,KU,1.285,2,UM,180,MIN,30,MIN,59.6,UM,94.6,9.4,1,Visual Match,03-01-2018,21-02-18,21-02-18,Completed
39893,548,Batch,,66.1,KU,100,UM,60.5,SEC,0.98,10,UM,60,MIN,10,MIN,39.8,UM,100,7.3,0.196,Spectrophotometer,03-05-2018,03-05-2018,03-06-2018,Completed
39832,297,Batch,,55.1,KU,100,UM,19.5,SEC,0.889,1.5,UM,60,MIN,10,MIN,20.3,UM,99.25,74.2,1,Visual Match,03-01-2018,03-02-2018,03-05-2018,Completed
39828,605,Batch,,63.9,KU,100,UM,61.5,KU,1.02,10,UM,120,MIN,30,MIN,56.3,UM,100,5.8,0.221,Spectrophotometer,03-01-2018,03-05-2018,03-06-2018,Completed
39898,606,Batch,,64.5,KU,100,UM,22.9,SEC,0.968,10,UM,120,MIN,30,MIN,39.6,UM,98.99,6.6,0.265,Spectrophotometer,03-05-2018,03-08-2018,03-08-2018,Completed
39689,560,Batch,1,54.3,KU,100,UM,62.5,KU,0.888,2,UM,120,MIN,30,MIN,61.3,UM,37.38,86.6,1,Visual Match,03-01-2018,03-07-2018,03-09-2018,Completed
39588,579,Batch,2,78.9,KU,100,UM,110.5,KU,1.11,15,UM,60,MIN,30,MIN,86.3,UM,100,1,1,Visual Match,03-01-2018,30-01-18,02-01-2018,Completed
39593,585,Batch,3,115.5,KU,100,UM,110.5,KU,1.186,15,UM,60,MIN,30,MIN,80.1,UM,12.53,1,1,Visual Match,03-01-2018,03-08-2018,03-08-2018,Completed
39894,563,Batch,1,47.8,KU,100,UM,62.5,KU,0.881,1.8,UM,180,MIN,30,MIN,60.3,UM,65.45,86.8,1,Visual Match,03-05-2018,03-07-2018,03-09-2018,Completed
39910,532,Batch,3,65.5,KU,100,UM,60.5,SEC,0.9,2,UM,60,MIN,10,MIN,39.9,UM,99.34,82.6,1,Visual Match,03-06-2018,03-07-2018,03-09-2018,Completed
39931,538,Batch,,61.9,KU,100,UM,59.5,SEC,0.998,2,UM,60,MIN,10,MIN,42.8,UM,72.94,85.3,1,Visual Match,03-08-2018,03-08-2018,03-09-2018,Completed
39589,580,Batch,,60.6,KU,100,UM,96.5,KU,1.185,15,UM,60,MIN,30,MIN,N/C,UM,82.09,1,1,Visual Match,03-01-2018,03-12-2018,13-03-18,Completed
