RMCode,name,Usage Mass,Usage Value,StockOnHand Mass,StockOn Hand Value
R261,    FC-AR9160XE LV 60% (2K),3.227,81.41721,0,0
R117,    FC-L1255W HV 55%,2.46,42.8532,0,0
R187,    FC-LS6050XX LV 50%,266.5,0,-266.5,0
E712,    FC-M850 / UNIMUL E2050,128,2665.6,0,0
P370,    FC-YELLOW ROAD MARKING,260,13325,-55,-2667.5
A318,   FC-DISPERBYK 2025,75.4,11310,-6,-900
A139,  YY-BYK 023 (SIL AQUA DEFORMER 0.05-0.8% TF),6.49,0,0,0
A021,  YY-DI BUTYL PTHYLATE,0.09,1.8,159.2,3184
A314,"  YY-DISPERBYK 162 (PU IP 20, TI 6, 85 OP, 120 CB)",40.595,6292.225,248.6,38533
A312,"  YY-DISPERBYK 192 (S&A 10 IP, 7 TI, 30 OP, 50 C",10.83,0,353,0
R115,  YY-L1055W MV 55% - DRUMS,3680,62526,-1340,-22512
Z14-611,  ZZ-INT:ACE410 ETCH PRIMER:REDOX-BALLMILL 9 @,288,4406.256,0,0
Z315,  ZZ-INT:FDE SCARLET S41G S25/50 BALLMILL 3 YY,0,0,0,0
Z206,  ZZ-INT:SGE GREEN 7 L55 BALLMILL 2 @,0,0,0,0
Z203,  ZZ-INT:SGE MID YELLOW L55 BALLMILL 6 YY,0,0,0,0
Z209,  ZZ-INT:SGE REDOX 130 L55 BALLMILL 1 YY,0,0,0,0
Z215,  ZZ-INT:SGE YELLOW OXIDE L55 BALLMILL 1 YY,0,0,0,0
S700,ACETONE SOLVENT,7112.531,100435.9744,3061.62,44087.328
ZY-83,ACRYLIC  WORKAWAY ALL COLORS,56,280,0,0
76-091,ACRYLIC ROOF CLEAR HI-SP @,790.05,7916.51076,0,0
76-504,ACRYLIC ROOF PAINT GREEN HI-SPEED @,172.72,2635.672656,0,0
76-101,ACRYLIC ROOF PAINT WHITE @,153.6,2225.84832,-76.8,-1226.391907
B008,ACTICIDE HF,19.47,369.93,180.488,3429.272
A008,ADDITIVE W,662.071,48000.1475,98.63,7150.675
F152,AEROSIL R972,0.381,56.388,2,296
P200,AL BRI LEAFING-D0501 / STAPA 4,2725.903,127418.9445,2449.6,113906.4
P210,AL STD NON-LEAFING,71.78,3158.32,-30,-1320
E7010,ALCOGUM SL950-E7010,7.769,275.801,45.445,1954.135
A001,AMMONIA (25%),9.766,63.479,15.64,101.66
A212,AMP-95/FALAMINE+,8.302,1004.542,42.336,5122.656
R259,AR9155SW LV 55% (TP-1K PP) - DRUM,69,1414.5,317.5,6508.75
R262,AR9155X LV 9P 55% (2K) - DRUM,6707.067,164856.8982,555.3,13660.38
Z761,ARMOURCRYL EXTENDER FOR TINT BASE HI-SPEED @,210.799,1918.60921,74.6,806.0950322
82-101,ARMOURCRYL MATT WHITE (PURE ACRYLIC) HI-SP @,950.951,11800.21116,105,1484.496182
83-101.,ARMOURCRYL SHEEN WHITE (PURE ACRYLIC) HI-SP @,127.84,1854.312672,-46.24,-765.4395474
00-7001,BITUMEN PRIMER-BRUSH & SPRAY @,1408.556,27370.16773,0,0
